observation_date,POPTOTUSA647NWDB
2000-01-01,282162411
2001-01-01,284968955
2002-01-01,287625193
2003-01-01,290107933
2004-01-01,292805298
2005-01-01,295516599
2006-01-01,298379912
2007-01-01,301231207
2008-01-01,304093966
2009-01-01,306771529
2010-01-01,309378227
2011-01-01,311839461
2012-01-01,314339099
2013-01-01,316726282
2014-01-01,319257560
2015-01-01,321815121
2016-01-01,324353340
2017-01-01,326608609
2018-01-01,328529577
2019-01-01,330226227
2020-01-01,331577720
2021-01-01,332099760
2022-01-01,334017321
2023-01-01,336806231
2024-01-01,340110988
