airport_code_std,rank_p05,rank_p50,rank_p95,p_top10,p_top20,p_top30,rank_stability,yhat_2025,PI80_low,PI80_high,PI95_low,PI95_high
ATL,1.0,1.0,2.0,1.0,1.0,1.0,0.9666666666666667,56998558.257172175,59822697.97021259,72456150.02142474,55604179.75442472,84665411.91262753
LAX,1.0,2.0,4.0,1.0,1.0,1.0,0.9,46506212.02109772,48810481.53751717,63538889.95660177,45368511.976232566,69080126.19366165
DFW,1.0,3.0,5.0,1.0,1.0,1.0,0.8666666666666667,45504600.685082026,47759242.79972912,62170443.25469634,44391403.45849426,67592337.04717994
DEN,2.0,4.0,5.0,1.0,1.0,1.0,0.9,39988143.68873794,41969458.797316514,50832635.53995077,39009897.75359034,59398215.68385583
ORD,2.0,5.0,6.0,1.0,1.0,1.0,0.8666666666666667,39460585.77540488,38773147.316849485,50162007.78229798,38495245.70026144,58614583.44111416
JFK,6.0,7.0,11.0,0.9416,1.0,1.0,0.8333333333333334,30249409.344347537,31748193.889738,41328110.97818009,29509405.95829244,44932341.80937561
MCO,6.0,8.0,11.0,0.9254,1.0,1.0,0.8333333333333334,29774416.933240715,31249666.761743307,37849020.85385429,29046033.476307813,44226790.136291474
SEA,6.0,9.0,12.0,0.8176,1.0,1.0,0.8,28978360.12743432,28473531.351428594,36837079.269527875,28269450.926183008,43044330.79994558
MIA,6.0,9.0,13.0,0.7012,1.0,1.0,0.7666666666666666,28366890.20820386,29772400.516218804,36059783.1842225,27672939.639881555,42136056.02656894
SFO,6.0,10.0,13.0,0.5916,1.0,1.0,0.7666666666666666,27974929.732341357,29361019.353593823,38220614.076255806,27290567.84973639,41553839.63097805
CLT,6.0,11.0,14.0,0.4008,1.0,1.0,0.7333333333333334,27709969.03344113,27476376.269752555,35097463.16990746,24470765.106008995,36259385.55011651
EWR,7.0,12.0,15.0,0.2866,1.0,1.0,0.7333333333333334,26860762.76019961,26634328.7356662,34021858.00186201,23720828.24343207,35148171.833642066
LAS,9.0,13.0,16.0,0.1568,1.0,1.0,0.7666666666666666,25216497.893024985,25003924.8863114,31939231.148414835,22268772.512581743,32996598.380295914
PHX,10.0,14.0,16.0,0.1006,1.0,1.0,0.8,24557457.570841853,23853635.922471847,31727217.16307142,21686771.828998547,32134222.925950497
BOS,10.0,14.0,16.0,0.0778,1.0,1.0,0.8,24323093.27225453,24118051.59313666,31424428.20476412,21479803.943432033,31827549.704792984
IAH,14.0,17.0,19.0,0.0,1.0,1.0,0.8333333333333334,20555204.628923956,20381925.94168833,26035234.342662826,18152369.047158126,26897146.25094753
MSP,14.0,17.0,19.0,0.0,0.9978,1.0,0.8333333333333334,20421195.549556796,20249046.54785676,25865498.363461766,18034025.18689221,26721791.061263777
FLL,15.0,18.0,20.0,0.0,0.98,1.0,0.8333333333333334,19366784.522948805,19203524.119625468,24529980.733411115,17102871.329369996,25342060.326237205
LGA,16.0,19.0,21.0,0.0,0.8834,1.0,0.8333333333333334,17841147.26435906,17690747.85785568,22597607.679173075,15755576.03117352,23345714.913434025
DTW,18.0,20.0,23.0,0.0,0.5682,1.0,0.8333333333333334,16343585.042486256,15875174.624522792,20700794.483048823,14433073.890559202,21386106.588984307
BWI,19.0,22.0,26.0,0.0,0.207,1.0,0.7666666666666666,14060241.873120371,13365115.56232841,18481720.888012648,12529454.523827007,19951578.888713233
SAN,20.0,22.0,26.0,0.0,0.1866,1.0,0.8,13997549.547996825,13761771.024564689,18399313.90915626,12473587.72980477,19862618.052782625
SLC,20.0,22.0,26.0,0.0,0.1608,1.0,0.8,13991104.090761071,13299395.892688751,18390841.56972556,12467844.011876628,19853471.905107968
PHL,21.0,25.0,29.0,0.0,0.0088,1.0,0.7333333333333334,12260670.648148123,11654513.596769387,16116244.291083027,10925808.866152879,17397975.075571723
TPA,22.0,25.0,29.0,0.0,0.0046,1.0,0.7666666666666666,12099921.25438786,11501711.51529969,15855896.44027073,10782560.81700641,17169870.592031356
DCA,22.0,26.0,29.0,0.0,0.0028,1.0,0.7666666666666666,11926161.32689864,11725273.828824235,15628199.138956565,10627718.73611008,16923304.072601426
HNL,24.0,27.0,30.0,0.0,0.0,1.0,0.8,11112352.148487872,10925172.673077239,14606817.768212533,9902511.788464036,15768503.310997035
IAD,24.0,28.0,30.0,0.0,0.0,1.0,0.8,10705088.625069208,10175838.216022447,14071483.39518998,9539588.458841737,15190593.600103885
PDX,25.0,29.0,30.0,0.0,0.0,1.0,0.8333333333333334,10386367.426571673,9872874.320484709,13652534.96707044,9255567.543811187,14738326.05074646
MDW,26.0,29.0,30.0,0.0,0.0,1.0,0.8666666666666667,10052181.155357426,9882859.487878729,13213258.214584766,8957765.292224674,14264113.45797431
